_id,experiment_id,handle,score
58d3b57068f6200c255c84a8,58d3a95468f6200c2556e84a,IsolaTiberina,
58d3b57068f6200c255c84a9,58d3a95468f6200c2556e84a,ItMeIRL,0.276404174499183
58d3b57068f6200c255c84aa,58d3a95468f6200c2556e84a,JFM,
58d3b57068f6200c255c84ab,58d3a95468f6200c2556e84a,JadeMacmillan1,0.5424755896150901
58d3b57068f6200c255c84ac,58d3a95468f6200c2556e84a,JamColley,0.9733860096787654
58d3b57068f6200c255c84ad,58d3a95468f6200c2556e84a,JarettSays,
58d3b57068f6200c255c84ae,58d3a95468f6200c2556e84a,JasmeetSahi,0.1792412724293494
58d3b57068f6200c255c84af,58d3a95468f6200c2556e84a,JasperJonesFilm,
58d3b57068f6200c255c84b0,58d3a95468f6200c2556e84a,Jeff_Sparrow,
58d3b57068f6200c255c84b1,58d3a95468f6200c2556e84a,JennyRDowell,
58d3b57068f6200c255c84b2,58d3a95468f6200c2556e84a,JerkVening,
58d3b57068f6200c255c84b3,58d3a95468f6200c2556e84a,JesonthePage,
58d3b57068f6200c255c84b4,58d3a95468f6200c2556e84a,JewishBook,0.8432689786331256
58d3b57068f6200c255c84b5,58d3a95468f6200c2556e84a,Jo_Tovey,
58d3b57068f6200c255c84b6,58d3a95468f6200c2556e84a,Joannechocolat,
58d3b57068f6200c255c84b7,58d3a95468f6200c2556e84a,JokeLvr,
58d3b57068f6200c255c84b8,58d3a95468f6200c2556e84a,JonCozart,
58d3b57068f6200c255c84b9,58d3a95468f6200c2556e84a,JonatBASS,
58d3b57068f6200c255c84ba,58d3a95468f6200c2556e84a,JonathnHolloway,
58d3b57068f6200c255c84bb,58d3a95468f6200c2556e84a,JuliaGillard,
58d3b57068f6200c255c84bc,58d3a95468f6200c2556e84a,JulianDennison,
58d3b57068f6200c255c84bd,58d3a95468f6200c2556e84a,JulieBishopMP,0.5704529061254164
58d3b57068f6200c255c84be,58d3a95468f6200c2556e84a,KELLYWEILL,
58d3b57068f6200c255c84bf,58d3a95468f6200c2556e84a,KJBar,
58d3b57068f6200c255c84c0,58d3a95468f6200c2556e84a,KellyNaturopath,
58d3b57068f6200c255c84c1,58d3a95468f6200c2556e84a,KinkyBootsOz,
58d3b57068f6200c255c84c2,58d3a95468f6200c2556e84a,Knightcartoons,
58d3b57068f6200c255c84c3,58d3a95468f6200c2556e84a,KnottMatthew,0.9084600137847564
58d3b57068f6200c255c84c4,58d3a95468f6200c2556e84a,KorenHelbig,
58d3b57068f6200c255c84c5,58d3a95468f6200c2556e84a,LRB,
